,id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,production
10202,6883,tt0075359,0.261838,0,0,Two-Minute Warning,Charlton Heston|John Cassavetes|Martin Balsam|Beau Bridges|Marilyn Hassett,,Larry Peerce,"91,000 people. 33 exit gates. One Sniper…",assassination|assassin|u.s. president|sport|firearm,"A psychotic sniper plans a massive killing spree in a Los Angeles football stadium during a major championship game. The police, led by Captain Peter Holly (Charlton Heston) and SWAT commander Sergeant Button (John Cassavetes), learn of the plot and rush to the scene. Still, they may be too late, as an all-star cast finds itself lined up in the sights of a gun-toting madman.",115,Action|Thriller,Universal Pictures|Filmways Pictures,1976-11-12,10,6.0,1976,0.0,0.0,Universal Pictures
10210,11422,tt0074899,0.456174,0,0,Midway,Charlton Heston|Henry Fonda|James Coburn|Glenn Ford|Hal Holbrook,,Jack Smight,A war's defining battle. A nation's defining moment.p,japanese|world war ii|midway|soldier|american,"This war drama depicts the U.S. and Japanese forces in the naval Battle of Midway, which became a turning point for Americans during World War II.",132,Action|Drama|History|War,Universal Pictures|The Mirisch Corporation,1976-06-18,38,6.3,1976,0.0,0.0,Universal Pictures
10214,15462,tt0074281,0.111387,0,0,Car Wash,Franklyn Ajaye|Sully Boyar|Richard Brestoff|Carmine Caridi|George Carlin,,Michael Schultz,"Hey, it's a '70s thing!",car wash,"This day-in-the-life cult comedy focuses on a group of friends working at Sully Boyar's Car Wash in the Los Angeles ghetto. The team meets dozens of eccentric customers -- including a smooth-talking preacher, a wacky cab driver and an ex-convict -- while cracking politically incorrect jokes to a constant soundtrack of disco and funk. Some of the workers find romance as the day moves along, but most are just happy to get through another shift.",97,Comedy|Drama|Romance,Universal Pictures,1976-10-22,14,5.6,1976,0.0,0.0,Universal Pictures
10218,23479,tt0074174,0.017498,35000000,35323292,The Bad News Bears,Walter Matthau|Tatum O'Neal|Christopher Daniel Barnes|Ben Piazza|Vic Morrow,,Michael Ritchie,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.,baseball|sport|little league,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",102,Comedy|Family,Paramount Pictures,1976-04-07,54,6.6,1976,134109430.997,135348188.316,Paramount Pictures
10222,424,tt0108052,2.377288,22000000,321265768,Schindler's List,Liam Neeson|Ben Kingsley|Ralph Fiennes|Caroline Goodall|Jonathan Sagall,http://www.schindlerslist.com/,Steven Spielberg,"Whoever saves one life, saves the world entire.",factory|concentration camp|hero|holocaust|world war ii,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,195,Drama|History|War,Universal Pictures|Amblin Entertainment,1993-11-29,2632,8.1,1993,33208339.1574,484941026.518,Universal Pictures
10223,329,tt0107290,2.204926,63000000,920100000,Jurassic Park,Sam Neill|Laura Dern|Jeff Goldblum|Richard Attenborough|Bob Peck,http://www.jurassicpark.com/,Steven Spielberg,An adventure 65 million years in the making.,exotic island|dna|paleontology|tyrannosaurus rex|triceratops,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",127,Adventure|Science Fiction,Universal Pictures|Amblin Entertainment,1993-06-11,3169,7.4,1993,95096607.587,1388863311.76,Universal Pictures
10233,2758,tt0106220,1.132123,0,48919043,Addams Family Values,Raúl Juliá|Anjelica Huston|Christopher Lloyd|Christina Ricci|Joan Cusack,,Barry Sonnenfeld,The Family Just Got A Little Stranger,jealousy|baby|butler|yuppie|nanny,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",94,Comedy|Family|Fantasy,Paramount Pictures|Orion Pictures|Scott Rudin Productions,1993-11-19,254,6.3,1993,0.0,73841825.9635,Paramount Pictures
10235,867,tt0108162,1.038971,40000000,116300000,Sliver,Sharon Stone|William Baldwin|Tom Berenger|Polly Walker|Colleen Camp,,Phillip Noyce,You like to watch... don't you?,new york|male nudity|female nudity|sex|based on novel,A women moves into an apartment in Manhattan and learns that the previous tenant's life ended mysteriously after the tenant fell from the balcony.,108,Drama|Thriller,Paramount Pictures,1993-05-21,62,4.7,1993,60378798.4679,175551356.546,Paramount Pictures
10244,6075,tt0106519,0.885824,30000000,36516012,Carlito's Way,Al Pacino|Sean Penn|Penelope Ann Miller|John Leguizamo|Ingrid Rogers,,Brian De Palma,He's got a good future if he can live past next week.,prison|1970s|puerto rican|release from prison|criminal past,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC.",144,Action|Crime|Drama|Thriller,Universal Pictures|Epic Productions|Bregman/Baer Productions,1993-11-10,394,7.4,1993,45284098.851,55119823.235,Universal Pictures
10253,1587,tt0108550,0.787932,11000000,30000000,What's Eating Gilbert Grape,Johnny Depp|Leonardo DiCaprio|Juliette Lewis|Darlene Cates|Mary Steenburgen,,Lasse Hallström,A film about the love you find...In the last place you look.,brother brother relationship|mentally disabled|iowa|widow|dysfunctional family,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.",118,Romance|Drama,Paramount Pictures,1993-12-17,495,7.4,1993,16604169.5787,45284098.851,Paramount Pictures
10260,37233,tt0106918,0.743875,42000000,270248367,The Firm,Tom Cruise|Jeanne Tripplehorn|Gene Hackman|Holly Hunter|Ed Harris,,Sydney Pollack,Power can be murder to resist.,fbi|law|tennessee|lawyer|law firm,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",154,Drama|Mystery|Thriller,Paramount Pictures|Mirage Enterprises|Davis Entertainment,1993-06-30,258,6.5,1993,63397738.3913,407931792.185,Paramount Pictures
10265,7984,tt0107207,0.683387,13000000,65796862,In the Name of the Father,Daniel Day-Lewis|Emma Thompson|Pete Postlethwaite|John Lynch|Beatie Edney,,Jim Sheridan,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.,bomb|prison|father-son relationship|1970s|faith,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",133,Drama,Universal Pictures|Hell's Kitchen Films,1993-12-12,156,7.4,1993,19623109.5021,99318386.763,Universal Pictures
10268,10433,tt0107473,0.665973,0,11081586,Mad Dog and Glory,Robert De Niro|Uma Thurman|Bill Murray|David Caruso|Mike Starr,,John McNaughton,A cop who'd rather be an artist. A mobster who'd rather be a comic. And a woman who'd rather be anywhere but between them.,fistfight|police|life-saver|cop|singing,"Wayne Dobie is a shy cop whose low-key demeanor has earned him the affectionate nickname ""Mad Dog."" After Mad Dog saves the life of Frank Milo, a crime boss and aspiring stand-up comedian, he's offered the company of an attractive young waitress named Glory for a week. At first both are uneasy about the arrangement, but they eventually fall in love. However, the situation becomes complicated when Milo demands Glory back.",96,Comedy|Crime|Romance|Drama,Universal Pictures|Mad Dog Productions,1993-03-05,25,5.3,1993,0.0,16727321.195,Universal Pictures
10280,8873,tt0108525,0.602268,0,47965000,Wayne's World 2,Mike Myers|Dana Carvey|Christopher Walken|Tia Carrere|Chris Farley,,Stephen Surjik,You'll laugh again! You'll cry again!! You'll hurl again!!!,love of one's life|tv show|talk show|tv series|kiss,"A message from Jim Morrison in a dream prompts cable access TV stars Wayne and Garth to put on a rock concert, ""Waynestock,"" with Aerosmith as headliners. But amid the preparations, Wayne frets that a record producer is putting the moves on his girlfriend, Cassandra, while Garth handles the advances of mega-babe Honey Hornee.",95,Comedy,Paramount Pictures,1993-12-10,131,5.7,1993,0.0,72401726.7129,Paramount Pictures
10281,2019,tt0107076,0.595221,18000000,74189677,Hard Target,Jean-Claude Van Damme|Arnold Vosloo|Lance Henriksen|Yancy Butler|Sven-Ole Thorsen,,John Woo,Don't hunt what you can't kill.,new orleans|mercenary|hunting human beings|money|drifter,"Natasha Binder comes to New Orleans looking for her father, who has gone missing. In doing so, she meets a very hard man called Chance. He helps her find out that her father was killed by an organisation who sell the opportunity to hunt human prey. They are taking advantage of a police strike in New Orleans. Will the Muscles from Brussels win through?",97,Action|Adventure|Crime|Thriller,Universal Pictures|Renaissance Pictures|Alphaville Films,1993-08-20,115,5.9,1993,27170459.3106,111987088.9,Universal Pictures
10291,7305,tt0106246,0.519349,32000000,36733909,Alive,Ethan Hawke|Vincent Spano|Bruce Ramsay|David Kriegel|Josh Hamilton,,Frank Marshall,They survived the impossible...by doing the unthinkable.,rugby|stranded|survival|plane wreck|plane crash,"The amazing, true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.",120,Action|Adventure|Drama|Thriller,Paramount Pictures|Touchstone Pictures,1993-01-15,198,6.7,1993,48303038.7744,55448732.2113,Paramount Pictures
10301,20339,tt0108207,0.483052,0,3200000,Splitting Heirs,Eric Idle|Rick Moranis|Barbara Hershey|Catherine Zeta-Jones|John Cleese,,Robert Young,A wickedly funny comedy of Royal proportions,black comedy|inheritance|incest,"A member of the English upper class dies, leaving his estate and his business to an American, whom he thinks is his son who was lost as a baby and then found again. An Englishman who thinks he is an Indian comes to believe that he is actually the heir. He comes to hate the American who is his boss, his friend, and the man who has stolen the woman after whom he lusts.",87,Comedy|Foreign,Universal Pictures|Prominent Features,1993-04-02,11,3.4,1993,0.0,4830303.87744,Universal Pictures
10302,9612,tt0106598,0.480183,0,0,Coneheads,Robert Knott|Dan Aykroyd|Jane Curtin|Sinbad|Phil Hartman,,Steve Barron,Young ones! Parental units! We summon you!,extraterrestrial technology|alien life-form|space invasion,"With enormous cone-shaped heads, robotlike walks and an appetite for toilet paper, aliens Beldar and Prymatt don't exactly blend in with the population of Paramus, N.J. But for some reason, everyone believes them when they say they're from France! As the odd ""Saturday Night Live"" characters settle into middle-class life in this feature-length comedy, a neighbor admires their daughter.",88,Comedy|Science Fiction|Family,Paramount Pictures,1993-07-23,115,4.8,1993,0.0,0.0,Paramount Pictures
10303,10438,tt0106375,0.475609,15000000,118243066,Beethoven's 2nd,Charles Grodin|Bonnie Hunt|Nicholle Tom|Christopher Castile|Sarah Rose Karr,,Rod Daniel,The Newton Family is going to the dogs...,holdings|sell|puppy|st. bernard's dog,"Beethoven is back -- and this time, he has a whole brood with him now that he's met his canine match, Missy, and fathered a family. The only problem is that Missy's owner, Regina, wants to sell the puppies and tear the clan apart. It's up to Beethoven and the Newton kids to save the day and keep everyone together.",89,Family|Comedy,Universal Pictures|Northern Lights Entertainment,1993-12-14,84,5.0,1993,22642049.4255,178484356.306,Universal Pictures
10312,4478,tt0107211,0.410092,38000000,266614059,Indecent Proposal,Robert Redford|Demi Moore|Woody Harrelson|Seymour Cassel|Oliver Platt,,Adrian Lyne,A husband. A wife. A millionaire. A proposal.,gambling|adultery|love of one's life|shortage of money|millionaire,"Robert Redford stars as billionaire John Gage, who offers a down-on-his-luck yuppie husband (Woody Harrelson) $1 million for the opportunity to spend the night with the man's wife (Demi Moore).",117,Drama,Paramount Pictures,1993-04-07,152,5.6,1993,57359858.5446,402445913.427,Paramount Pictures
10322,12187,tt0107091,0.375771,0,16589540,Heart and Souls,Robert Downey Jr.|Charles Grodin|Kyra Sedgwick|Elisabeth Shue|Tom Sizemore,,Ron Underwood,The story of four souls who needed a body and one guy who needed some soul.,afterlife,"A businessman is reunited with the four lost souls who were his guardian angels during childhood, all with a particular purpose to joining the afterlife.",104,Fantasy|Drama|Comedy|Science Fiction|Romance,Universal Pictures|Stampede Entertainment|Alphaville Films,1993-08-13,31,6.2,1993,0.0,25041412.3084,Universal Pictures
10340,25389,tt0107529,0.29896,0,9532895,Matinee,John Goodman|Cathy Moriarty|Simon Fenton|Omri Katz|Lisa Jakub,,Joe Dante,Lawrence Woolsey presents the end of civilization as we know it. Make that... Proudly Presents!,florida|cold war|movie theater|premiere|bomb shelter,"A showman introduces a small coastal town to a unique movie experience and capitalises on the Cuban Missile crisis hysteria with a kitschy horror extravaganza combining film effects, stage props and actors in rubber suits in this salute to the B-movie.",99,Comedy|Drama,Universal Pictures|Falcon Productions|Renfield Productions,1993-01-29,15,6.0,1993,0.0,14389618.6505,Universal Pictures
10351,12574,tt0106613,0.261518,0,0,Cop and ½,Burt Reynolds|Norman D. Golden II|Ruby Dee|Holland Taylor|Ray Sharkey,,Henry Winkler,One kid's fantasy. One cop's nightmare.,police|murder|drug|police shootout|laundry drying on clothes line,"When a pint-sized 8-year-old kid witnesses a murder he offers to help the police, if they make him a cop, too. Saddled with this streetwise sidekick, a hardboiled cop is forced to take his new partner seriously as they race the clock to bring the bad guys to justice.",97,Action|Comedy|Family,Imagine Entertainment|Universal Pictures,1993-04-02,11,5.1,1993,0.0,0.0,Universal Pictures
10355,15613,tt0106912,0.23906,19885552,19724334,Fire in the Sky,D. B. Sweeney|Robert Patrick|Craig Sheffer|Peter Berg|Henry Thomas,,Robert Lieberman,"Alien abduction. November 5, 1975. White Mountains, Northeastern Arizona. Based on the true story.",based on novel|biography|police|woods|ufo,"A group of men who were clearing bush for the government arrive back in town, claiming that their friend was abducted by aliens. Nobody believes them, and despite a lack of motive and no evidence of foul play, their friends' disappearance is treated as murder.",109,Drama|Horror|Thriller|Mystery,Paramount Pictures,1993-03-12,49,6.4,1993,30016643.4158,29773289.6875,Paramount Pictures
10371,27804,tt0108327,0.181726,14000000,0,The Thing Called Love,River Phoenix|Samantha Mathis|Dermot Mulroney|Sandra Bullock|Anthony Clark,,Peter Bogdanovich,,country music,Miranda Presley moves from New York to Nashville to become a song writer. At an unsuccessful audition she meets James Wright a promising newcomer. After only a few days they marry but start to quickly regret it. This is River Phoenix's last movie and you can see the end coming...,116,Music|Drama|Romance,Paramount Pictures,1993-07-16,14,5.8,1993,21132579.4638,0.0,Paramount Pictures
10378,10423,tt0106770,0.140785,14000000,63513743,Dragon: The Bruce Lee Story,Jason Scott Lee|Lauren Holly|Robert Wagner|Michael Learned|Nancy Kwan,,Rob Cohen,The Mystery. The Life. The Love. The Legend,life and death|martial arts|training|bruce lee,"This film is a glimpse into the life, love and the unconquerable spirit of the legendary Bruce Lee. From a childhod of rigorous martial arts training, Lee realizes his dream of opening his own kung-fu school in America. Before long, he is discovered by a Hollywood producer and begins a meteroric rise to fame and an all too short reign as one the most charasmatic action heroes in cinema history.",120,Drama|Action,Universal Pictures,1993-05-07,72,6.9,1993,21132579.4638,95872087.2136,Universal Pictures
10388,2047,tt0107927,0.27659,0,0,The Real McCoy,Kim Basinger|Val Kilmer|Terence Stamp|David Dwyer|Gailard Sartain,,Russell Mulcahy,,prison|master thief|motherly love|bank robbery,"Karen McCoy is released from prison with nothing but the clothes on her back. Before being incarcerated Karen was the bank robber of her time, but now she wishes for nothing more than to settle down and start a new life. Unfortunately between a dirty parole officer, old business partners, and an idiot ex-husband she will have to do the unthinkable in order to save her son.",100,Action|Crime|Drama|Thriller,Universal Pictures,1993-09-10,21,5.6,1993,0.0,0.0,Universal Pictures
10394,15278,tt0106500,0.03797,0,17953778,CB4,Chris Rock|Allen Payne|Phil Hartman|Charlie Murphy|Rachel True,,Tamra Davis,"Sex, rap and family values?",rap|hip-hop|wheelchair|jeep|satire,"A ""rockumentary"", covering the rise to fame of MC Gusto, Stab Master Arson, and Dead Mike: members of the rap group ""CB4"". We soon learn that these three are not what they seem and don't apear to know as much about rap music as they claim... but a lack of musical ability in an artist never hurts sales, does it? You've just got to play the part of a rap star...",89,Music|Comedy,Universal Pictures,1993-03-12,16,6.5,1993,0.0,27100688.59,Universal Pictures
10421,17887,tt0061385,0.197331,0,0,Barefoot in the Park,Robert Redford|Jane Fonda|Charles Boyer|Mildred Natwick|Herb Edelman,,Gene Saks,"Broadway's barest, rarest, unsquarest love play.",love|lawyer|conservative|new york city|apartment,"In this film based on a Neil Simon play, newlyweds Corie, a free spirit, and Paul Bratter, an uptight lawyer, share a sixth-floor apartment in Greenwich Village. Soon after their marriage, Corie tries to find a companion for mother, Ethel, who is now alone, and sets up Ethel with neighbor Victor. Inappropriate behavior on a double date causes conflict, and the young couple considers divorce.",106,Comedy|Romance,Paramount Pictures|Hal Wallis Productions|Nancy Enterprises Inc. (I),1967-05-25,37,6.9,1967,0.0,0.0,Paramount Pictures
10424,27277,tt0062472,0.139647,0,6000000,The War Wagon,"John Wayne|Kirk Douglas|Howard Keel|Robert Walker, Jr.|Keenan Wynn",,Burt Kennedy,The War Wagon Rolls And The Screen Explodes!,gold|ranch|caper|gold shipment|wagon,"An ex-con seeks revenge on the man who put him in prison by planning a robbery of the latter's stagecoach, which is transporting gold. He enlists the help of a partner, who could be working for his nemesis.",96,Western,Universal Pictures|Batjac Productions|Marvin Schwartz Productions,1967-05-27,16,6.3,1967,0.0,39220582.4387,Universal Pictures
10425,2984,tt0061523,0.114342,3500000,2000000,A Countess from Hong Kong,Marlon Brando|Sophia Loren|Tippi Hedren|Sydney Chaplin|Charles Chaplin,,Charles Chaplin,,usa|hong kong,A Russian countess stows away in the stateroom of a married U.S. diplomat bound for New York.,120,Comedy|Romance,Universal Pictures|Chaplin Film Productions Ltd.,1967-01-05,17,5.4,1967,22878673.0893,13073527.4796,Universal Pictures
10432,32489,tt0062362,0.093993,0,0,Thoroughly Modern Millie,Julie Andrews|James Fox|Mary Tyler Moore|Carol Channing|John Gavin,,George Roy Hill,Julie as you love her... in the happiest motion picture hit of the year!,hotel|love|pursuit|stenographer,"Millie Dillmount, a fearless young lady fresh from Salina, Kansas, determined to experience Life, sets out to see the world in the rip-roaring Twenties. With high spirits and wearing one of those new high hemlines, she arrives in New York to test the ""modern"" ideas she had been reading about back in Kansas: ""I've taken the girl out of Kansas. Now I have to take Kansas out of the girl!""",138,Comedy|Music|Romance,Universal Pictures|Ross Hunter Productions Inc.,1967-03-21,11,5.5,1967,0.0,0.0,Universal Pictures
10441,4808,tt0056923,0.920094,4000000,13474588,Charade,Cary Grant|Audrey Hepburn|Walter Matthau|James Coburn|George Kennedy,,Stanley Donen,"You can expect the unexpected when they play...""Charade""",paris|cia|age difference|love of one's life|interpreter,"Regina Lambert returns to Paris from a ski holiday in Switzerland to find that her husband has been murdered. She is later told by CIA agent Hamilton Bartholemew that Charles Lambert was one of five men who stole $250,000 in gold from the U.S. government during World War II, and the government wants it back. The money was not found among his possessions, and Regina can shed no light on its whereabouts. Later that day she is visited by Peter Joshua, whom she had met briefly while on holiday. When her husband's former partners in crime, who were double-crossed by Charles, start calling her looking for the money, Peter offers to help find it. Thus begins an elaborate charade in which nothing is what it seems to be.",113,Comedy|Mystery|Romance|Thriller,Universal Pictures,1963-12-05,187,7.5,1963,28480717.4862,95941483.5179,Universal Pictures
10452,24748,tt0057163,0.3104,0,0,Hud,Paul Newman|Melvyn Douglas|Patricia Neal|Brandon De Wilde|Whit Bissell,,Martin Ritt,The man with the barbed-wire soul.,ranchers|rancher,"Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth, out for kicks with no regard for the consequences. There is bitter conflict between the callous Hud and his stern and highly principled father, Homer. Hud's nephew Lon admires Hud's cheating ways, though he soon becomes aware of Hud's reckless amorality to bear him anymore. In the world of the takers and the taken, Hud is a winner. He's a cheat, but, he explains ""I always say the law was meant to be interpreted in a lenient manner.""",112,Action|Drama|Western,Paramount Pictures,1963-05-29,24,7.0,1963,0.0,0.0,Paramount Pictures
10455,15875,tt0057007,0.215025,0,0,Donovan's Reef,John Wayne|Lee Marvin|Elizabeth Allen|Jack Warden|Cesar Romero,,John Ford,Gangway...For This Years BIG Adventure!,birthday|half-brother|priest|mission clinic|polynesia,"'Guns' Donovan prefers carousing with his pals Doc Dedham and 'Boats' Gilhooley, until Dedham's high-society daughter Amelia shows up in their South Seas paradise.",109,Adventure|Comedy|Romance,Paramount Pictures,1963-06-12,14,6.0,1963,0.0,0.0,Paramount Pictures
10460,18331,tt0057372,0.198774,0,0,The Nutty Professor,Jerry Lewis|Stella Stevens|Del Moore|Med Flory|Norman Alden,,Jerry Lewis,What does he become? What kind of monster?,love|teacher,"Jerry Lewis directed, co-wrote and starred in this riotously funny movie that set a new standard for screen comedy and inspired the hit remake. Lewis plays a timid, nearsighted chemistry teacher who discovers a magical potion that can transform him into a suave and handsome Romeo. The Jekyll and Hyde game works well enough until the concoction starts to wear off at the most embarrassing times.",107,Comedy|Romance|Family,Paramount Pictures|Jerry Lewis Enterprises,1963-06-04,39,6.7,1963,0.0,0.0,Paramount Pictures
10475,744,tt0092099,1.469796,15000000,356830601,Top Gun,Tom Cruise|Kelly McGillis|Val Kilmer|Anthony Edwards|Tom Skerritt,,Tony Scott,Up there with the best of the best.,lovesickness|loss of lover|fighter pilot|self-discovery|pilot,"For Lieutenant Pete Mitchell and his friend and Co-Pilot Nick Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.",110,Drama|Action|Romance,Paramount Pictures,1986-05-16,1046,6.6,1986,29841096.1629,709881085.221,Paramount Pictures
10476,9377,tt0091042,1.36519,6000000,70136369,Ferris Bueller's Day Off,Matthew Broderick|Alan Ruck|Mia Sara|Jeffrey Jones|Jennifer Grey,,John Hughes,One man's struggle to take it easy.,chicago|high school|aftercreditsstinger|duringcreditsstinger,Charismatic teen Ferris Bueller plays hooky in Chicago with his girlfriend and best friend.,103,Drama|Comedy,Paramount Pictures,1986-06-11,755,7.3,1986,11936438.4652,139529742.123,Paramount Pictures
10479,4978,tt0090633,1.251215,0,84542002,An American Tail,Phillip Glasser|Dom DeLuise|Nehemiah Persoff|Erica Yohn|Amy Green,,Don Bluth,"Meet Fievel. In his search to find his family, he discovered America.",new york|cat|immigration|russia|mouse,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",80,Drama|Family|Animation|Adventure,Universal Pictures|Amblin Entertainment,1986-11-21,181,6.6,1986,0.0,168188400.766,Universal Pictures
10487,168,tt0092007,0.971594,24000000,133000000,Star Trek IV: The Voyage Home,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei,,Leonard Nimoy,The key to saving the future can only be found in the past.,saving the world|san francisco|uss enterprise-a|time travel|whale,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",119,Science Fiction|Adventure,Paramount Pictures,1986-11-25,275,6.6,1986,47745753.8607,264591052.645,Paramount Pictures
10488,10658,tt0091225,0.969383,37000000,37962774,Howard the Duck,Lea Thompson|Jeffrey Jones|Tim Robbins|Ed Gale|Holly Robinson Peete,,Willard Huyck,You will believe that a duck can talk.,duck|physicist|extraterrestrial|animal in title|anthropomorphism,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,110,Fantasy|Comedy|Science Fiction,Universal Pictures,1986-08-01,105,4.9,1986,73608037.2019,75523385.9697,Universal Pictures
10499,9671,tt0090555,0.680643,5000000,328203506,Crocodile Dundee,Paul Hogan|Linda Kozlowski|Mark Blum|David Gulpilil|Michael Lombard,,Peter Faiman,There's a little of him in all of us.,new york|prostitute|hotel|journalist|culture clash,"When a New York reporter plucks crocodile hunter Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. Dundee proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",97,Adventure|Comedy,Paramount Pictures|Rimfire Films,1986-09-26,248,6.2,1986,9947032.05431,652930158.904,Paramount Pictures
10501,10136,tt0091129,0.642842,25000000,79817939,The Golden Child,Eddie Murphy|Charles Dance|Charlotte Lewis|Victor Wong|Peter Kwong,,Michael Ritchie,Eddie Murphy is the chosen one.,monk|social worker|wretch|tibet|demon,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",94,Action|Adventure|Comedy,Paramount Pictures,1986-12-12,152,5.4,1986,49735160.2716,158790319.548,Paramount Pictures
10504,10466,tt0091541,0.566943,10000000,54999651,The Money Pit,Tom Hanks|Shelley Long|Alexander Godunov|Maureen Stapleton|Joe Mantegna,,Richard Benjamin,For everyone who's ever been deeply in Love or deeply in debt.,rock star|price|chaos|house|home ownership,"After being evicted from their Manhattan apartment, a couple buy what looks like the home of their dreams - only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything - including the kitchen sink, disppears into the Money Pit.",91,Comedy|Romance,Universal Pictures|Amblin Entertainment,1986-03-15,137,6.4,1986,19894064.1086,109416658.295,Universal Pictures
10509,10225,tt0091080,0.541302,3000000,19472057,Friday the 13th Part VI: Jason Lives,Thom Mathews|Jennifer Cooke|David Kagen|Renée Jones|Tom Fridley,,Tom McLoughlin,Kill or be killed!,lightning|cemetery|mask|slasher|jason vorhees,"As a child, Tommy killed mass-murderer Jason. But now, years later, he is tormented by the fear that maybe Jason isn’t really dead. Determined to finish off the infamous killer once and for all, Tommy and a friend dig up Jason’s corpse in order to cremate him. Unfortunately, things go seriously awry, and Jason is instead resurrected, sparking a new chain of ruthlessly brutal murders. Now it’s up to Tommy to stop the dark, devious and demented deaths that he unwittingly brought about.",86,Horror|Mystery|Thriller,Paramount Pictures,1986-08-01,90,5.5,1986,5968219.23259,38737835.0285,Paramount Pictures
10515,11522,tt0091790,0.515686,0,40471663,Pretty in Pink,Molly Ringwald|Jon Cryer|Andrew McCarthy|Harry Dean Stanton|Annie Potts,,Howard Deutch,Blane's a pretty cool guy. Andie's pretty in pink. And Ducky's pretty crazy.,record store|lovesickness|class|secondhand|love,"Andie is an outcast at her Chicago high school, hanging out either with her older boss, who owns the record store where she works, or her quirky classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realizes that dating someone from a different social sphere is not easy.",96,Comedy,Paramount Pictures,1986-02-28,159,6.6,1986,0.0,80514585.8305,Paramount Pictures
